,pop.geno.treat,population,genotype,treatment
C2D3c_H3,C2DelC,C2,del,C
C2D3c_H4,C2DelC,C2,del,C
C2D3s_H1,C2DelS,C2,del,S
C2D3s_H2,C2DelS,C2,del,S
C2N1c_G3,C2NonC,C2,non,C
C2N1c_G4,C2NonC,C2,non,C
C2N1s_G1,C2NonS,C2,non,S
C2N1s_G2,C2NonS,C2,non,S
KL01c_E3,KL1DelC,KL1,del,C
KL01c_E4,KL1DelC,KL1,del,C
KL01s_E1,KL1DelS,KL1,del,S
KL01s_E2,KL1DelS,KL1,del,S
KL02c_F3,KL2NonC,KL2,non,C
KL02c_F4,KL2NonC,KL2,non,C
KL02s_F1,KL2NonS,KL2,non,S
KL02s_F2,KL2NonS,KL2,non,S
M12D3c_C3,M12DelC,M12,del,C
M12D3c_C4,M12DelC,M12,del,C
M12D3s_C1,M12DelS,M12,del,S
M12D3s_C2,M12DelS,M12,del,S
M12N3c_D3,M12NonC,M12,non,C
M12N3c_D4,M12NonC,M12,non,C
M12N3s_D1,M12NonS,M12,non,S
M12N3s_D2,M12NonS,M12,non,S
M9D3c_B3,M9DelC,M9,del,C
M9D3c_B4,M9DelC,M9,del,C
M9D3s_B1,M9DelS,M9,del,S
M9D3s_B2,M9DelS,M9,del,S
M9N1c_A3,M9NonC,M9,non,C
M9N1c_A4,M9NonC,M9,non,C
M9N1s_A2,M9NonS,M9,non,S
ZI197c_I2,ZINonC,ZI,non,C
ZI197c_I3,ZINonC,ZI,non,C
ZI197s_I1,ZINonS,ZI,non,S
ZI254c_J3,ZINonC,ZI,non,C
ZI254c_J4,ZINonC,ZI,non,C
ZI254s_J1,ZINonS,ZI,non,S
ZI254s_J2,ZINonS,ZI,non,S
ZI254s_J5,ZINonS,ZI,non,S
ZI273c_K3,ZINonC,ZI,non,C
ZI273c_K4,ZINonC,ZI,non,C
ZI273s_K1,ZINonS,ZI,non,S
ZI273s_K2,ZINonS,ZI,non,S
ZI273s_K5,ZINonS,ZI,non,S
ZI418c_L2,ZINonC,ZI,non,C
ZI418c_L3,ZINonC,ZI,non,C
ZI418s_L1,ZINonS,ZI,non,S
